광고대행수수료,,,,
수주비상각,,,,
미분양주택관리비,,,,
기타,,,,
관리비(*),2364206,4751854,10287982,8917941
임차료,56970,555006,4602205,2978553
리스료,,,,
수도광열비,,,,
세금과공과,,,,
보험료,,,,
지급수수료,1811424,3169492,5164673,4949132
기타관리비(*),495812,1027356,521104,990256
여비교통비,139596,557444,133282,546323
차량유지비,,,,
통신비,,,,
소모품비,,,,
도서인쇄비,,,,
도서구입비,,,,
교육훈련비,,,,
전산처리비,,,,
용역비,356216,469912,387822,443933
수선비,,,,
보상비,,,,
사무비,,,,
체육비,,,,
협회비등,,,,
행사비,,,,
접대비,,,,
기타비화폐적비용,,,,
기타,,,,
기타원가성비용(*),,,,
국제정산부담금,,,,
전용회선료(회선사용료),,,,
전파사용료,,,,
접속료,,,,
정산료,,,,
상품매출원가,,,,
제품매출원가,,,,
"통신,방송(제작)비",,,,
